Lp;Nazwa;Droga;Kilometraż;Lat;Lon
1;Mickiewicza Rondo;W758;0+202;50.566651;21.668603
2;Mickiewicza Rondo;W758;0+195;50.566539;21.668734
3;1 Maja Tapima;P1108;0+140;50.569196;21.664849
4;1 Maja Basen;P1108;0+090;50.56876;21.664881
5;Moniuszki Kaskada;P1107;0+090;50.570793;21.666691
6;Moniuszki ;P1107;0+150;50.570604;21.667592
7;Wyspiańskiego;P1107;0+365;50.569399;21.675502
8;Wyspiańskiego Urząd Skarbowy;P1107;0+309;50.569331;21.674949
9;Wyspiańskiego TSM;P1107;0+110;50.569873;21.671996
10;Kopernika Biedronka;P1107;0+580;50.568661;21.685665
11;Kopernika Górnik;P1107;0+050;50.569102;21.678271
12;Kopernika MOPR;P1107;0+210;50.569015;21.680355
13;Kopernika Szkoła;P1107;0+503;50.568639;21.684486
14;11 Listopada;G1220989;0+370;50.57035;21.690461
15;11 Listopada ZSP 1;G1220989;0+230;50.569171;21.690112
16;Sienkiewicza Kościół;W871;2+890;50.568307;21.718972
17;Sienkiewicza ;W871;0+220;50.572383;21.681897
18;Sienkiewicza ;W871;2+520;50.56863;21.713956
19;Sienkiewicza Majster;W871;0+950;50.571038;21.692121
20;Sienkiewicza Twój Koszyk;W871;1+840;50.569761;21.704416
21;Sienkiewicza ;W871;1+910;50.569585;21.705329
22;Sienkiewicza Rondo;W871;0+800;50.571325;21.690032
23;Sienkiewicza ;W871;2+615;50.568368;21.715423
24;Sienkiewicza Przychodnia;W871;0+307;50.572272;21.6833
25;Sienkiewicza Dworek;W871;2+920;50.568121;21.7195
26;Zamkowa;P1111;1+760;50.553011;21.713628
27;Zamkowa;P1111;0+047;50.56772;21.719996
28;Zamkowa Staw;P1111;1+302;50.556839;21.715888
29;Orląt Lwowskich Ocice;P1110;1+505;50.544515;21.676092
30;Ocicka Jagodnik;P1111;2+650;50.547751;21.708123
31;Ocicka Górka;P1111;0+610;50.543788;21.684681
32;Ocicka Straż;P1111;0+470;50.544072;21.682704
33;Ocicka Pętla;P1111;1+760;50.54205;21.700507
34;Sikorskiego;W723;3+115;50.58574;21.689491
35;Sikorskiego ;W723;1+642;50.574394;21.679813
36;Sikorskiego Zamek;W723;2+098;50.578414;21.681358
37;Sikorskiego;W723;1+665;50.574645;21.67962
38;Sikorskiego WORD;W723;3+315;50.587245;21.691068
39;Sikorskiego Lidl;W723;1+350;50.571773;21.678413
40;Słomki;G122052;0+280;50.58911;21.688119
41;Wiejska;G122067;0+363;50.586038;21.685428
42;Warszawska Wielowieś;W723;8+135;50.645271;21.759029
43;Warszawska Wielowieś;W723;6+905;50.635035;21.753248
44;Warszawska Zakrzów;W723;2+047;50.602977;21.708593
45;Warszawska Wielowieś;W723;6+394;50.630888;21.750548
46;Warszawska Zakrzów;W723;2+537;50.606579;21.71238
47;Warszawska Zakrzów Park;W723;3+113;50.610876;21.716883
48;Warszawska Sielec;W723;4+150;50.618089;21.726179
49;Warszawska Sielec;W723;4+303;50.618906;21.727912
50;Warszawska Zakrzów Park;W723;3+160;50.611322;21.717121
51;Warszawska Wielowieś;W723;6+260;50.629909;21.749496
52;Warszawska Zakrzów;W723;2+630;50.60731;21.713012
53;Warszawska Wielowieś;W723;7+135;50.637067;21.754155
54;Warszawska;W723;1+925;50.60204;21.70753
55;Warszawska Unimet;W723;1+015;50.59523;21.700399
56;Odwet Jędrusie;G122008;0+270;50.636213;21.749958
57;Szklachecka ;P1095;0+575;50.61407;21.760538
58;Bema;P1093;2+974;50.608758;21.760837
59;Bema Pomnik;P1093;2+445;50.604915;21.756681
60;Kazimierza Wielkiego;P1105;0+100;50.578371;21.688962
61;Kazimierza Wielkiego;P1105;0+410;50.580875;21.687128
62;Kwiatkowskiego DAO;P1105;0+500;50.575393;21.691452
63;Kwiatkowskiego Targ;P1105;0+143;50.572373;21.691491
64;Kwiatkowskiego;P1105;0+700;50.577057;21.690183
65;Zwierzyniecka;P1106;0+390;50.57769;21.686404
66;Dąbrowskiej Cmentarz;G122085;0+070;50.57227;21.686645
67;Dąbrowskiej Szkoła;G122085;0+370;50.57473;21.686361
68;Piłsudskiego;G122118;0+185;50.5731;21.674119
69;Grota-Roweckiego;G122091;0+049;50.573585;21.675044
70;Wyszyńskiego ;G122091;0+240;50.575986;21.676215
71;Sokola;W758;0+040;50.571452;21.67031
72;Szpitalna;G122140;0+065;50.566976;21.669952
73;Szpitalna;G122140;0+062;50.566915;21.669796
74;Wisłostrada;W871;0+860;50.520925;21.615097
75;Wisłostrada;W871;0+876;50.520865;21.615427